Rank,County,First,Second
1,Garrett,79.7,86.8
2,Queen Anne's,79.5,85.4
3,Allegany,75.3,83.8
4,Carroll,82.2,83.8
5,Caroline,77.6,82.8
6,Washington,73.3,78
7,Cecil,77.3,77.9
8,Talbot,69.7,77.9
9,Harford,76.5,77.6
10,Saint Mary's,72.7,76.8
11,Worcester,69.3,76.3
12,Calvert,69.1,76
13,Dorchester,68.3,74.7
14,Kent,64.6,73.8
15,Somerset,67,70.2
16,Anne Arundel,66.1,69.2
17,Frederick,63.3,68.7
18,Wicomico,64.3,68.2
19,Baltimore County,59,61.7
20,Howard,51.5,56.9
21,Charles,46.9,49.6
22,Montgomery,36.7,44.5
23,Baltimore City,21.9,31.9
24,Prince George's,14.9,28.2
